Domicile,xG,Score,xG.1,Extérieur,Affluence,Arbitre
Crystal Palace,0.4,1–0,0.3,Bournemouth,23497.0,Anthony Taylor
Burnley,0.5,1–4,1.8,Manchester City,20101.0,Jonathan Moss
Wolves,1.6,2–0,0.5,West Ham,31217.0,Andre Marriner
Southampton,1.1,2–1,0.8,Norwich City,27019.0,Kevin Friend
Leicester City,3.0,2–0,0.2,Watford,31763.0,Craig Pawson
Chelsea,2.1,2–1,0.7,Aston Villa,40628.0,Chris Kavanagh
Manchester Utd,1.3,2–1,0.5,Tottenham,73252.0,Paul Tierney
Liverpool,2.7,5–2,1.5,Everton,53094.0,Mike Dean
Sheffield Utd,1.3,0–2,0.8,Newcastle Utd,30409.0,Stuart Attwell
Arsenal,1.0,1–2,2.3,Brighton,60164.0,Graham Scott
Everton,1.7,3–1,0.9,Chelsea,39114.0,Craig Pawson
Watford,1.2,0–0,0.2,Crystal Palace,20070.0,Martin Atkinson
Bournemouth,0.2,0–3,2.3,Liverpool,10832.0,Chris Kavanagh
Tottenham,2.3,5–0,0.5,Burnley,58401.0,Kevin Friend
Manchester City,2.0,1–2,1.6,Manchester Utd,54403.0,Anthony Taylor
Norwich City,0.8,1–2,0.7,Sheffield Utd,26881.0,Simon Hooper
Aston Villa,1.0,1–4,4.4,Leicester City,41908.0,Michael Oliver
Newcastle Utd,1.2,2–1,2.3,Southampton,42303.0,David Coote
Brighton,1.0,2–2,1.6,Wolves,30189.0,Jonathan Moss
West Ham,0.6,1–3,1.7,Arsenal,59936.0,Mike Dean
Liverpool,1.6,2–0,1.4,Watford,53311.0,Andre Marriner
Burnley,1.0,1–0,0.7,Newcastle Utd,19798.0,Tim Robinson
Chelsea,1.5,0–1,0.8,Bournemouth,40243.0,Graham Scott
Sheffield Utd,1.4,2–0,1.1,Aston Villa,30396.0,Peter Bankes
Leicester City,1.3,1–1,1.7,Norwich City,32101.0,Andy Madley
Southampton,0.9,0–1,1.0,West Ham,27701.0,Martin Atkinson
Wolves,0.8,1–2,0.9,Tottenham,31674.0,Stuart Attwell
Manchester Utd,1.7,1–1,0.3,Everton,63328.0,Michael Oliver
Arsenal,0.4,0–3,1.8,Manchester City,60031.0,Paul Tierney
Crystal Palace,0.7,1–1,2.3,Brighton,24175.0,Craig Pawson
Everton,0.4,0–0,0.7,Arsenal,39336.0,Kevin Friend
Newcastle Utd,0.5,1–0,1.4,Crystal Palace,45453.0,Simon Hooper
Aston Villa,1.0,1–3,3.1,Southampton,41834.0,Craig Pawson
Brighton,0.5,0–1,1.3,Sheffield Utd,30505.0,Robert Jones
Norwich City,1.3,1–2,1.3,Wolves,27053.0,Peter Bankes
Bournemouth,0.2,0–1,0.2,Burnley,10020.0,Martin Atkinson
Manchester City,3.4,3–1,1.0,Leicester City,54415.0,Mike Dean
Watford,1.5,2–0,1.7,Manchester Utd,21488.0,Lee Mason
Tottenham,0.4,0–2,1.4,Chelsea,61104.0,Anthony Taylor
Tottenham,1.5,2–1,0.6,Brighton,56308.0,Graham Scott
Chelsea,0.5,0–2,0.7,Southampton,40651.0,Jonathan Moss
Crystal Palace,2.0,2–1,0.9,West Ham,25462.0,Andre Marriner
Aston Villa,0.6,1–0,1.1,Norwich City,41289.0,Chris Kavanagh
